owner,repo,stars,forks,watchers,deleted,private,archived,disabled
kong,kong-oauth2-hello-world,173,51,36,False,False,False,False
kordamp,markdown-gradle-plugin,69,51,8,False,False,False,False
kossiitkgp,git-and-github-workshop-2023,0,51,17,False,False,False,False
kost,mikrotik-npk,70,51,19,False,False,False,False
kostovmartin,dapper.bulk,136,51,7,False,False,False,False
kotlin-hands-on,advent-of-code-kotlin-template,342,51,9,False,False,False,False
kouchao,layui-vue,283,51,11,False,False,False,False
kouchao,vue-layui,283,51,11,False,False,False,False
kovidgoyal,kitty-themes,236,51,6,False,False,False,False
kowalskidev,email-template,1,51,3,False,False,False,False
kowsalya30g,dockerassignmnent2,0,51,1,False,False,False,False
kraih,minion,215,51,40,False,False,False,False
krancour,docker-deis-dev,96,51,9,False,False,False,False
krancour,docker-go-dev,96,51,9,False,False,False,False
krlvm,powertunnel,718,51,21,False,False,False,False
krunallathiya,reactreduxauthentication,91,51,4,False,False,False,False
krutonium,owo,102,51,5,False,False,False,False
krydos,todoist-linux,624,51,15,False,False,True,False
kryptokinght,react-extension-boilerplate,256,51,10,False,False,False,False
kryzhovnik,rails_admin_tag_list,76,51,8,False,False,False,False
kscsdk,ksc-sdk-java,39,51,2,False,False,False,False
ksky521,player,107,51,14,False,False,False,False
ktechlab,ktechlab,362,51,53,False,False,False,False
kthohr,gcem,502,51,25,False,False,False,False
ktossell,camera_umd,34,51,10,False,False,False,False
kubowania,doodle-jump,84,51,4,False,False,False,False
kuhung,datecastle,71,51,7,False,False,False,False
kuhung,datecastle-cat-dog,71,51,7,False,False,False,False
kulakowka,react-bulma,471,51,8,False,False,False,False
kumapowerliu,eccv2020-oral-rethinking-image-inpainting-via-a-mutual-encoder-decoder-with-feature-equalizations,356,51,16,False,False,False,False
kumapowerliu,eccv2020oralrethinking-image-inpainting-via-a-mutual-encoder-decoder-with-feature-equalizations,356,51,16,False,False,False,False
kumapowerliu,rethinking-inpainting-medfe,356,51,16,False,False,False,False
kurento,doc-kurento,49,51,19,False,False,False,False
kusionstack,kusion,534,51,10,False,False,False,False
kuwaitcodes,uc-finalproject,0,51,1,False,False,False,False
kuwaitcodes,uc-gamedev-cw-2,0,51,1,False,False,False,False
kuwapa,learndagger,399,51,12,False,False,False,False
kvendrik,responsive-images.js,315,51,16,False,False,False,False
kwechsler,crmdeveloperextensions,2,51,2,False,False,False,False
kyan001,ping3,268,51,10,False,False,False,False
kyubyong,word2word,339,51,13,False,False,False,False
l-leite,cso2-launcher,102,51,23,False,False,False,False
l-m-sherlock,workingtime,67,51,2,False,False,False,False
l0gg3r,lgbluetooth,172,51,9,False,False,False,False
lab-pep-itba,clase-3---clasificadores-bayesianos,3,51,2,False,False,False,False
labenuexercicios,arquitetura-revisao-template,0,51,2,False,False,False,False
labenuexercicios,testes-react-3-template,0,51,2,False,False,False,False
laboratoria,dev004-card-validation,0,51,5,False,False,False,False
laboratoria,dev007-card-validation,3,51,3,False,False,False,False
lagodiuk,genetic-algorithm,117,51,12,False,False,False,False
lakiw,pcfg_cracker,248,51,18,False,False,False,False
lambdahack,lambdahack,574,51,25,False,False,False,False
lambdaschool,expand-the-number-swift-challenge,0,51,8,False,False,False,False
lambdaschool,ios-expand-the-number-swift-challenge,0,51,8,False,False,False,False
lambdaschool,java-messaging,0,51,3,False,False,False,False
lanbing510,csdnblogbackup,65,51,10,False,False,False,False
lancelothuxi,android-open-project,77,51,13,False,False,False,False
landmaktechnology,ansible29a,1,51,1,False,False,False,False
landmaktechnology,jenkins-ansible,1,51,1,False,False,False,False
landmaktechnology,nodeapp,1,51,2,False,False,False,False
lapfelix,arkit-line-drawing,398,51,12,False,False,False,False
laracademy,generators,327,51,16,False,False,False,False
laraveldaily,laravel-challenge-manytomany-olympics,16,51,4,False,False,False,False
laraveldaily,laravel-file-storage,97,51,8,False,False,False,False
laraveldaily,laravel-real-estate-venue-portal,80,51,10,False,False,False,False
laraveldaily,sportsleague-quickadminpanel,34,51,9,False,False,False,False
larksuite,oapi-sdk-go,239,51,8,False,False,False,False
larshh,sherpa,320,51,11,False,False,False,False
larsks,undocker,291,51,8,False,False,False,False
launchcodeeducation,assignment3_9to5,0,51,0,False,False,False,False
launchdarkly,java-client,72,51,58,False,False,False,False
launchdarkly,java-server-sdk,72,51,58,False,False,False,False
lavakumar,ironwasp,113,51,29,False,False,False,False
lavakumarthatisetti,machine-coding-round,20,51,1,False,False,False,False
lavas-project,pwa-book,160,51,16,False,False,False,False
lawloretienne,spannabletextview,573,51,15,False,False,False,False
lawloretienne,trestle,573,51,15,False,False,False,False
laxyapahuja,bunken,767,51,15,False,False,False,False
layeh,gopher-luar,222,51,9,False,False,False,False
layla-p,womenofdotnet,38,51,5,False,False,False,False
lbaerga,br-restaurant-guide,1,51,2,False,False,False,False
lbaerga,pr-practice,0,51,1,False,False,False,False
